,log_id,device_id,access_time,access_type
0,1001,105,2023-12-01 10:51:00,logout
1,1002,110,2023-12-01 09:08:00,login
2,1003,106,2023-12-01 10:59:00,login
3,1004,110,2023-12-01 10:54:00,login
4,1005,104,2023-12-01 10:45:00,logout
5,1006,102,2023-12-01 08:18:00,logout
6,1007,101,2023-12-01 10:35:00,logout
7,1008,104,2023-12-01 10:42:00,login
8,1009,105,2023-12-01 08:43:00,login
9,1010,102,2023-12-01 10:16:00,logout
10,1011,104,2023-12-01 09:02:00,login
11,1012,102,2023-12-01 08:41:00,logout
12,1013,107,2023-12-01 09:58:00,logout
13,1014,105,2023-12-01 09:37:00,logout
14,1015,108,2023-12-01 09:09:00,login
15,1016,106,2023-12-01 10:43:00,logout
16,1017,103,2023-12-01 10:56:00,login
17,1018,106,2023-12-01 10:22:00,login
18,1019,106,2023-12-01 08:56:00,logout
19,1020,104,2023-12-01 10:55:00,logout
